暔審庬暿,暔審僐乕僪,栤崌偣僐乕僪,奜晹暔審嬫暘,奜晹暔審僐乕僪,尰嫷,岞奐忬懺,僄儔乕,捓椏,娫庢,強嵼奒,抸擭寧,暔審柤,僼儕僈僫,強嵼抧,娗棟旓,嫟塿旓,晘嬥,楃嬥,曐徹嬥,晘堷,峏怴椏,柺愊乮搚抧乯,柺愊乮愱桳乯,捸悢(戙昞),捸扨壙(戙昞),暔審妋擣擔,搊榐擔,峏怴擔,帺幮愭暔,庢堷懺條,嬈幰柤,尦晅扴摉幰,TEL,挀幵応,暔審儊儌,梄曋斣崋
憅屔,R00175-015097,,,,嬻,岞奐壜,柍,12885989,,奒,2019擭01寧,戝嶃巗廧擵峕嬫撿峘搶4挌栚偺戄憅屔亂2603捸亃,,戝嶃晎戝嶃巗廧擵峕嬫撿峘搶係挌栚8-3,,,6.00,14041000,,,,5946.22,8605.74,2603.23,4950,2026/08/06,"2025/10/27 12:51","2026/08/06 16:28",愭暔(拠夘),,姅幃夛幮僩僠僞僥價儖僨傿儞僌,戝惣丗090-9680-7005,"=""06-6975-7780""",嬻桳,"

2026.4丏28
丒捓椏丗12885989墌仺12764000墌
丒晘嬥丗2儢寧佀6偐寧
丒楃嬥丗1偐寧仺14041000墌

2026.4.20
丒捓椏丗11714535墌仺12885989墌
丒晘嬥丗3偐寧仺2偐寧

2026.2.12
丒捓椏丗12764615墌仺11,714,535墌
丒尦晅丗僩僠僞僥價儖僨傿儞僌

丒101崋丄1丒2奒帠柋強丄4丒5奒乮堦晹乯
仸暔審妋擣偼儗僀儞僘偺宖嵹偺桳柍",5590031
憅屔,R00175-015671,,,,嬻,岞奐壜,柍,940000,,奒,1986擭11寧,嫗搒晎嫗搒巗撿嬫忋捁塇撿壴柤挰偺戄憅屔亂254捸亃,,嫗搒晎嫗搒巗撿嬫忋捁塇撿壴柤挰34,,,2.00,3.00,,,,702.68,841.00,254.4,3695,2026/08/06,"2026/07/02 11:35","2026/08/06 16:19",愭暔(拠夘),,姅幃夛幮僩僠僞僥價儖僨傿儞僌,-,"=""06-6975-7780""",嬻桳,"2026.8丏6
丒捓椏丗99枩墌仺94枩墌",6018126
岺応,R00175-014855,,,,嬻,曐棷,柍,330000,,奒,2000擭06寧,愹撿巗怣払榋旜偺戄岺応亂114捸亃,,戝嶃晎愹撿巗怣払榋旜466-1,,,,2.00,2.00,,,955.37,378.00,114.34,2887,2026/07/03,"2025/07/01 14:54","2026/08/06 15:40",愭暔(拠夘),,乮桳乯擁杮彜帠晄摦嶻,-,"=""072-452-8674""",嬻桳,"僙儞僠儏儕乕僟僀僜乕偱怽偟崬傒拞丂2026.8.6丂尦晅傛傝
丒1嬫夋戄偟
丒撪棗曽朄偼丄帪娫偑崌偊偽棫夛偄丄崌傢側偄応崌偼尞傪夛幮傑偱庢傝偵棃偰偄偨偩偔乮応強丗孎庢挰栶応偺惓柺價儖乯
丒梡搑揑偵塩嬈梡憅屔偼NG丄帺壠梡憅屔偱偁傟偽壜",5900515
憅屔,R00175-015737,,,,巊梡拞,曐棷,柍,990000,,奒,1972擭01寧,悂揷巗枛峀挰偺戄憅屔亂190捸亃,,戝嶃晎悂揷巗枛峀挰21-16,,,5.00,2.00,,,,663.97,630.16,190.62,5194,2026/08/06,"2026/08/06 09:51","2026/08/06 10:00",愭暔(拠夘),,嶰婎寶愝乮姅乯,-,"=""06-6304-0999""",嬻桳,,5640022
戄抧,R00175-015736,,,,,曐棷,柍,1000000,,奒,-,暫屔導嶰栘巗暿強挰彫椦偺戄抧亂794捸亃,,暫屔導嶰栘巗暿強挰彫椦725-4,,,,,,,,2625.00,,794.06,1260,2026/08/06,"2026/08/06 09:36","2026/08/06 09:42",愭暔(拠夘),,攄杹奐敪乮姅乯,戝捤丗090-5162-7225,"=""0794-85-2215""",,丒応強丗僌乕僌儖儅僢僾偱偼丄暿強挰彫椦722-2乮姅幃夛幮僐乕儌儔儞僾儘僟僋僩乯偺惣懁,6730434
揦曑(寶暔堦妵),R00175-015285,,,,巊梡拞,曐棷,柍,550000,,1奒,2004擭02寧,暫屔導擈嶈巗棫壴挰1挌栚偺戄揦曑亂48捸亃,,暫屔導擈嶈巗棫壴挰侾挌栚24-31,,,4.00,2.00,,,,934.00,159.89,48.36,11372,2026/07/31,"2026/01/20 16:14","2026/08/06 09:17",愭暔(拠夘),,僌儔儞僨丒僾儘僷僥傿乮姅乯,憗愳丗080-5105-5069,"=""052-433-6782""",嬻桳,"2026.8.6丂丂拞愳偵偰宊栺梊掕偺堊丄曐棷丅
2026.6.11
丒75枩墌仺55枩墌
丒晘嬥丗3.00仺4.00偐寧
丒楃嬥丗3.00仺2.00偐寧

2026丏4.23
捓椏丗600000枩墌佀750000枩墌
曐徹嬥丗3偐寧仺0

2026.3.4丂怽崬傒4審丅3/6(嬥)掲傔愗傝丅",6610025
憅屔,R00175-015724,,,,巊梡拞,岞奐壜,柍,1650000,,奒,2007擭08寧,搶戝嶃巗媑揷壓搰偺戄憅屔亂380捸亃,,戝嶃晎搶戝嶃巗媑揷壓搰11-15,,,,4.00,,,,708.07,1256.68,380.14,4341,2026/07/27,"2026/07/27 11:54","2026/08/05 18:30",愭暔(拠夘),,俵俷俿婇夋乮姅乯,-,"=""072-964-5800""",嬻桳,峀崘宖嵹壜丂TEL偵偰2026.7.31,5780983
憅屔,R00175-015709,,,,巊梡拞,岞奐壜,柍,1430000,,1奒,1983擭01寧,搶戝嶃巗崅堜揷杮捠4挌栚偺戄憅屔亂345捸亃,,戝嶃晎搶戝嶃巗崅堜揷杮捠係挌栚4-23,,,,,5200000,,,1796.81,1142.40,345.57,4139,2026/07/17,"2026/07/17 10:08","2026/08/05 18:27",愭暔(拠夘),,乮姅乯儕乕僪,-,"=""06-6347-1311""",,,5770066
憅屔,R00175-015723,,,,巊梡拞,岞奐壜,柍,1650000,,奒,1987擭10寧,戝嶃巗搶梽愳嬫朙棦1挌栚偺戄憅屔亂239捸亃,,戝嶃晎戝嶃巗搶梽愳嬫朙棦侾挌栚4-36,,,6000000,3300000,,,,808.97,792.00,239.58,6888,2026/07/27,"2026/07/27 11:40","2026/08/05 18:23",愭暔(拠夘),,姅幃夛幮僗儁乕僗丒儕乕僟乕,-,"=""06-6310-7510""",嬻桳,,5330013
揦曑(寶暔堦妵),R00175-015382,,,,巊梡拞,傾乕僇僀僽(惉栺),柍,880000,,奒,1976擭08寧,枼柺巗惣廻2挌栚偺戄揦曑亂110捸亃,,戝嶃晎枼柺巗惣廻俀挌栚1-7,,,6.00,,,,,,363.69,110.01,7999,2026/06/12,"2026/03/11 11:00","2026/08/05 16:56",愭暔(拠夘),,嶃媫嶃恄晄摦嶻乮姅乯,-,"=""06-6376-4747""",嬻桳,"2026.5.14
丒彜択拞丂2斣庤曞廤壜
",5620034
