物件種別,物件コード,問合せコード,外部物件区分,外部物件コード,現況,公開状態,エラー,賃料,間取,所在階,築年月,物件名,フリガナ,所在地,管理費,共益費,敷金,礼金,保証金,敷引,更新料,面積（土地）,面積（専有）,坪数(代表),坪単価(代表),物件確認日,登録日,更新日,自社先物,取引態様,業者名,元付担当者,TEL,駐車場,物件メモ,郵便番号
倉庫,R00177-004251,,,,使用中,アーカイブ(成約),無,880000,,階,2004年04月,福岡県宮若市山口の貸倉庫【221坪】,,福岡県宮若市山口771,,,4.00,2.00,,,,2883.07,730.52,220.98,3983,2026/01/27,"2025/07/04 10:17","2026/07/29 17:53",自社,一般媒介,株式会社センチュリーダイソー　福岡支店,-,"=""092-409-0188""",,,8220153
店舗事務所(建物一括),R00177-004587,,,,空,公開可,無,550000,,階,1984年12月,福岡県柳川市本町の貸店舗・事務所【329坪】,,福岡県柳川市本町14-14,,,6.00,,,,,,1088.99,329.41,1670,2026/07/29,"2026/07/29 14:22","2026/07/29 15:57",先物(仲介),,(株)ソリューション,-,"=""092-711-1170""",空有,"元付より掲載依頼：友納様
福岡FYビル　一棟",8320045
倉庫,R00177-004582,,,,空,公開可,無,143000,,階,1979年01月,福岡県古賀市久保の貸倉庫【30坪】,,福岡県古賀市久保500-3,,,2.00,1.00,,,,,101.20,30.61,4672,2026/07/29,"2026/07/24 10:05","2026/07/29 13:41",自社,一般媒介,株式会社センチュリーダイソー　福岡支店,-,"=""092-409-0188""",空有,オーナー反響：㈱アドバンス,8113115
店舗事務所(建物一括),R00177-004574,,,,居住中,公開可,無,715000,,階,1973年02月,福岡県福岡市博多区東光寺町2丁目の貸店舗【101坪】,,福岡県福岡市博多区東光寺町２丁目7-24,,,4.00,1.00,,,,454.00,334.46,101.17,7068,2026/07/29,"2026/07/16 13:27","2026/07/29 13:40",先物(仲介),,（株）ジェイエイ福岡　賃貸管理センター,-,"=""092-711-5615""",空有,店舗内に車の保管不可,8120896
倉庫,R00177-004586,,,,,保留,無,,,階,-,福岡県久留米市大石町の貸倉庫【坪】,,福岡県久留米市大石町582-2,,,,,,,,,,,,2026/07/29,"2026/07/29 10:55","2026/07/29 10:55",自社,一般媒介,株式会社センチュリーダイソー　福岡支店,-,"=""092-409-0188""",,"オーナー反響：㈲三瀬製材所
※賃料・面積なしで登録
道路側倉庫木造、奥側はテント倉庫",8300049
倉庫,R00177-004579,,,,建築中,公開可,無,308000,,階,2027年02月,福岡県宗像市野坂の貸倉庫・事務所【30坪】,,福岡県宗像市野坂2716-2,,,6.00,,,,,,99.45,30.08,10239,2026/07/22,"2026/07/22 14:22","2026/07/29 10:33",先物(仲介),,株式会社大熊建設,-,"=""092-504-3142""",空有,オフィスパレア宗像Ⅱ　B棟,8113423
倉庫,R00177-004578,,,,建築中,公開可,無,594000,,階,2027年02月,福岡県宗像市野坂の貸倉庫・事務所【57坪】,,福岡県宗像市野坂2716-2,,,6.00,,,,,,191.52,57.93,10253,2026/07/22,"2026/07/22 12:00","2026/07/29 10:32",先物(仲介),,株式会社大熊建設,-,"=""092-504-3142""",空有,オフィスパレア宗像Ⅱ　A棟2号室,8113423
倉庫,R00177-004577,,,,建築中,公開可,無,715000,,階,2027年02月,福岡県宗像市野坂の貸倉庫【68坪】,,福岡県宗像市野坂2716-2,,,6.00,,,,,,228.01,68.97,10367,2026/07/22,"2026/07/22 11:58","2026/07/29 10:32",先物(仲介),,株式会社大熊建設,-,"=""092-504-3142""",空有,オフィスパレア宗像Ⅱ　A棟1号室,8113423
倉庫,R00177-004576,,,,建築中,公開可,無,616000,,階,2026年10月,福岡県久留米市東合川6丁目の貸倉庫【93坪】,,福岡県久留米市東合川６丁目3-10,,,6.00,,,,,,309.45,93.6,6581,2026/07/17,"2026/07/17 15:35","2026/07/29 10:27",先物(仲介),,株式会社大熊建設,-,"=""092-504-3142""",空有,オフィスストレージ久留米Ⅰ,8390809
倉庫,R00177-004585,,,,空,公開可,無,770000,,階,2020年01月,福岡県糟屋郡須惠町大字須惠の貸倉庫【224坪】,,福岡県糟屋郡須惠町大字須惠712-1,,,5.00,1.00,,,,,742.00,224.45,3431,2026/07/28,"2026/07/28 10:11","2026/07/29 10:08",先物(仲介),,フィールドジャパン（株）,-,"=""092-573-0822""",空有,,8112113
